Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Preferred Payment Method,Frequency of Purchases,Total Previous Spending
1,55,Male,Blouse,Clothing,53.0,Kentucky,L,Gray,Winter,3.1,Yes,Credit Card,Express,Yes,Yes,14.0,Venmo,Fortnightly,742.0
2,19,Male,Sweater,Clothing,64.0,Maine,L,Maroon,Winter,3.1,Yes,Bank Transfer,Express,Yes,Yes,2.0,Cash,Fortnightly,128.0
3,50,Male,Jeans,Clothing,73.0,Massachusetts,S,Maroon,Spring,3.1,Yes,Cash,Free Shipping,Yes,Yes,23.0,Credit Card,Weekly,1679.0
4,21,Male,Sandals,Footwear,90.0,Rhode Island,M,Maroon,Spring,3.5,Yes,PayPal,Next Day Air,Yes,Yes,49.0,PayPal,Weekly,4410.0
5,45,Male,Blouse,Clothing,49.0,Oregon,M,Turquoise,Spring,2.7,Yes,Cash,Free Shipping,Yes,Yes,31.0,PayPal,Annually,1519.0
6,46,Male,Sneakers,Footwear,20.0,Wyoming,M,White,Summer,2.9,Yes,Venmo,Standard,Yes,Yes,14.0,Venmo,Weekly,280.0
7,63,Male,Shirt,Clothing,85.0,Montana,M,Gray,Fall,3.2,Yes,Debit Card,Free Shipping,Yes,Yes,49.0,Cash,Quarterly,4165.0
8,27,Male,Shorts,Clothing,34.0,Louisiana,L,Charcoal,Winter,3.2,Yes,Debit Card,Free Shipping,Yes,Yes,19.0,Credit Card,Weekly,646.0
9,26,Male,Coat,Outerwear,97.0,West Virginia,L,Silver,Summer,2.6,Yes,Venmo,Express,Yes,Yes,8.0,Venmo,Annually,776.0
10,57,Male,Handbag,Accessories,31.0,Missouri,M,Pink,Spring,4.8,Yes,PayPal,2-Day Shipping,Yes,Yes,4.0,Cash,Quarterly,124.0
11,53,Male,Shoes,Footwear,34.0,Arkansas,L,Purple,Fall,4.1,Yes,Credit Card,Store Pickup,Yes,Yes,26.0,Bank Transfer,Bi-Weekly,884.0
12,30,Male,Shorts,Clothing,68.0,Hawaii,S,Olive,Winter,4.9,Yes,PayPal,Store Pickup,Yes,Yes,10.0,Bank Transfer,Fortnightly,680.0
13,61,Male,Coat,Outerwear,72.0,Delaware,M,Gold,Winter,4.5,Yes,PayPal,Express,Yes,Yes,37.0,Venmo,Fortnightly,2664.0
14,65,Male,Dress,Clothing,51.0,New Hampshire,M,Violet,Spring,4.7,Yes,Debit Card,Express,Yes,Yes,31.0,PayPal,Weekly,1581.0
15,64,Male,Coat,Outerwear,53.0,New York,L,Teal,Winter,4.7,Yes,PayPal,Free Shipping,Yes,Yes,34.0,Debit Card,Weekly,1802.0
16,64,Male,Skirt,Clothing,60.0,Rhode Island,M,Teal,Winter,2.8,Yes,Credit Card,Store Pickup,Yes,Yes,8.0,PayPal,Monthly,480.0
17,25,Male,Sunglasses,Accessories,36.0,Alabama,S,Gray,Spring,4.1,Yes,Venmo,Next Day Air,Yes,Yes,44.0,Debit Card,Bi-Weekly,1584.0
18,53,Male,Dress,Clothing,38.0,Mississippi,XL,Lavender,Winter,4.7,Yes,Debit Card,2-Day Shipping,Yes,Yes,36.0,Venmo,Quarterly,1368.0
19,52,Male,Sweater,Clothing,48.0,Montana,S,Black,Summer,4.6,Yes,Bank Transfer,Free Shipping,Yes,Yes,17.0,Cash,Weekly,816.0
20,66,Male,Pants,Clothing,90.0,Rhode Island,M,Green,Summer,3.3,Yes,Venmo,Standard,Yes,Yes,46.0,Debit Card,Bi-Weekly,4140.0
21,21,Male,Pants,Clothing,51.0,Louisiana,M,Black,Winter,2.8,Yes,Credit Card,Express,Yes,Yes,50.0,Cash,Every 3 Months,2550.0
